fra	nnb
Mon fils rêve de devenir un joueur de golf professionnel.	Omughala waghe asondire inyabya mughuma akowesi na mukangirirya owe vusanda.
Comme elle ne pouvait pas payer son billet, le conducteur du bus lui demanda de descendre.	Kundi amataluka okondihi y’olughendo, omughendya we ngurubani amamusaba ati akime
Je découvris trop tard que j'avais omis la partie la plus importante de mon discours.	Namafumbula ndagaliri, ngoko mona virirwe ekyendundi omomkania waye.
"Est-il logique de déclarer un territoire comme le ""foyer national"" d'une communauté appartenant à une religion donnée ?"	Kinatolere ilyaghula engaviro nilebe mo nyumba ye kihugho kyosi eyabandu vomokisomo kelebe kwehi ?
Ils ont examiné les empreintes digitales trouvées sur la porte pour vérifier si elles appartiennent au voleur.	Mubasosorye okimiynikalo k’ekihanza k’evila, bakasonda eriminya niniiviala ebyo mwibi.
Anita a fait preuve d'une incroyable force de volonté.	Anita, amakanzia avandi, ngoko anawite akaghala ekeriyiherera.
Si le Chili et l'Argentine fusionnaient, ils formeraient un ensemble concurrent du Brésil et des États-Unis d'Amérique, agissant immédiatement comme un aimant sur les autres pays hispanophones d'Amérique, et réalisant le rêve prémonitoire de Simon Bolivar.	E Chili ne Argentine nani kihugho kighuma kya nga sosire E brésil n’oghuma e bye Amerika, kyangakolire n’olwanzo okovindi vighugho. evyomuvughe y’espagnol eviri omo Amerika, neryo naho esonzoli syakera sya Simon Bolivar.
En dépit de toutes nos différences, nous partageons, en fait, tous le même titre de fierté, la plus importante position dans une démocratie: le Citoyen.	Nomozwabya mbiriri mbiriri, ky ekyendundi obulimundu anayitsemere omo byiranda vuvye ngo mughuma oko bandu bomo kighugho kiwe.
Dans ce document, le Parlement expose les risques de désordre et de bouleversement de la société au cas où on établissait l’égalité entre les hommes, et réaffirme les devoirs de chacun des ordres.	Omo kitabu kino esyombuyi (parlement sikakanganaya angasira ovutya vutya n’ovughulikirirana owve kitunga, ekikalengekanaya kiti abandu vosi bangabere omovikango biyimerera n’eribya nesyo mbangwa ngimerera omo beilikola.
Va tout droit jusqu'à ce que tu vois le bureau de la Poste, et ensuite tourne à droite.	Ukwama nzira ngumerera, eyikekukolya oko visenge byesonyavaligho, ukandibya wahikagho uwatymbira okoluhande lokuli.
Hey Pandark, comment ça se fait que tu sois devenu si célèbre que Pharamp commence à écrire des phrases sur toi ?	Hey Pandark, wamakumayira kutsibu, na pharamb alimusunga byakuhandikako, nerikuvughako ?
Quel mec génial !	Omulwana mubuyabuya!
Celui qui revient sur sa promesse détruit également un espoir.	Oyukasurya omomwatsi vutsiry’akologho akatwamaha.
Les militaires ont engagé le combat avec l'ennemi, cinq kilomètres au sud de la capitale.	Abalasi m’obalwire n’enzighu, okovika vitano, omoluhandi o’lwekavuna ol’omuyi mukulu.
La police avait facilement trouvé dans son sac à main les noms des personnes que fréquentait la victime avant sa mort.	Epolisis m’oyasungire bweyobweyo omogunza yiwe mo mena wa baya akasungana nabo embere aghole.
Enfin au bord du Nil et des canaux, ils construisirent de nombreuses machines hydrauliques simples mais efficaces.	Okondulya, bamahimba, ndeke ndeke okomusike enevitsuko evyolusi ebyerikokoterya mwa maghetse.
Il casse souvent nos fenêtres avec une balle.	Babeghere iritulanga amadirisha wetu omo masasi.
Lorsqu'un ami vous demande de l'argent à emprunter, voyez lequel des deux vous voulez perdre.	Endambi omwanzi waghu akasonda eriyiwek’akuwe, ngambe iwasombola ekyo wanzire erigherya.
En France, il est nécessaire de composter son billet avant de monter dans le train.	E France embere wingire omo nguruwani yo vuhinganya iwatsuka eriyitheghererya ndeke olubwele ngolune omongunza.
Je lui ai envoyé un télégramme de félicitations pour l'obtention de son diplôme.	Monamutumire omwihungo evinya vyerimusunzira evivuya visa visa okwihawva ekipapura kiwe ky’erivugha akalasi.
Je sais que vous devez être enseveli sous une montagne de courrier, mais je me demandais si je pouvais connaître votre avis sur le courrier que je vous ai envoyé la semaine dernière?	Ninasi ngoko wabiripokera esyo niavaligho nene, neryo nilwe nisondire eriminya, ngowangavugha ki oko yayi eyo na kutumira okoyenga eyabiyilavire?
J'enrage contre lui (mon coeur est cuit sur lui).	Si ni mutsemere kundu (avirikirirya omutima wage) .
Reviens plus tard.	Utasyasa bolo.
Que tu les lèches ou non, ils vont te ramollir en te ratatinant le cerveau, sinon te briser le cou.	Wangalya utewangalya bakandi kutulako mutwe kutse ibakubunya ky’evikya.
Je promets que je prendrai bien soin de votre chien.	Namalayana oko suluvirira endeghetheghe yahu.
Mettez immédiatement les forces de police en état d'alerte générale !	Mulu muhire avalasi okovutea vunene kutsivu bye haghuma.
Louis avait vu cent fois des fêtes de campagne.	Louis mwalungira engedno ihana evisendebele bye mulongo.
Une chose que vous devriez savoir, à mon sujet, est que je suis vraiment un garçon de la campagne, au fond du cœur.	Ekindu kughuma ekyo wagaminyo okwinze ngoko niri mulwana bye mulongo emwisi yomutima.
Tes joues restent belles entre les pendeloques, et ton cou dans les colliers.	Eritema liaghu litsemesirwe nge rusaki lwe ngoko n’evikya bighu ivirimo ovusanga.
Il a envoyé ses bagages à l'avance.	Olio mwakatuma emigheke yiwe yo hombere.
Les plans ne sont pas inscrits dans le marbre et peuvent être altérés, si c'est absolument nécessaire.	Ovuhimbe sivulangirika omo pamba kundi angahendulwa kyamavya kyendundi.
Brian a dit à plusieurs reprises à Chris qu'il lui devait beaucoup d'argent.	Bian akavugha n’erisuvirira kanzikanzi oko Christu ngoko atolere olumbuka lungi.
C'était l'un des meilleurs films qu'ils n’aient jamais vus.	Eki ni kighuma kyoko visesekani oviwenerere obyo athetalolako.
J'ai une surprise pour toi, mon chéri.	Niri n’ebweriswekera kwiwe, mwirawaghe.
Il semble qu'il y ait actuellement une épidémie inflationniste de « paquets d'aide » aux différentes économies. Ouvrez grand vos poches ! L'épidémie passée, on se demandera où s'est évaporé tout cet argent.	Munabire, abandu, bahikire kwe kihunzo kyerisabiriria vusana na vutunde. Tulebaye oho tukabika! Ekitsingo tsingo kikandivya chalava avangi bashayivulya bati elumbuka lwetu lwakolire wahi.
Je n'ai pas réussi à attraper le dernier bus et suis rentré à la maison en taxi.	Monithethoka erihamba engururani eyerinyuma neryo namasuba eka oko taxi.
Je suis venue trop tard.	Neryo konamasalitya erinyuma.
Si vous ne savez pas quel est votre but, vous ne pourrez jamais atteindre celui-ci.	Wamavya utasi okyo uliko, siwangakwamirire oyu.
Daniel est le fils unique de Jacob.	Danieli ni mughala kiusa wa Yakobo.
Trouvez facilement les meilleurs prix pour votre trajet en train.	Usunge bweghubweghu enzwere yo lughendo omo ngurumani eyomuki.
La flotte aborde à cette île ; mais à peine les Troyens sont-ils débarqués, que la peste se met dans leur camp.	Ababya omo biato mubabulikire ibamahika oko muyi oy’owali omokatikati nge ngetse aliwe inahika ekitsingo tsingo kyamabangiromo.
Quand la cloche a sonné, les élèves sont sortis dans la cour pour jouer.	Omughulu esonzogha syamahinda, abakolo ibayasata.
Les bus à la campagne n'arrivent généralement pas à l'heure.	Egurubani ye mulongo siyehika kangikangi oko ndambi.
Il ne le montrera jamais, mais je pense qu'au fond de lui-même, il est sérieusement inquiet.	Syandivakanza cho aliwe abirihangya hangya omo kirimu.
Je ne veux pas que vous ayez une fausse impression.	Sinyanzire mukahandika vitya vitya.
Quel bordel il a fait à la discothèque, même la police est venue.	Akolire kyahe ewavukatali kolwimbo, noluhi lwarire.
Pourquoi avez-vous remis l'impression de mon livre à plus tard ?	Kundiki mumwatasubulya evihandiko vyaghe vyo luva?
Notre fils a appris cinq langues. On a le droit d'en être fier, vous ne croyez pas ?	Mughala wetu amarigha emubughe eyitano. Tulin’enzumwa yerimutsemera, siukirirye kwehi ?
J'ai réfléchi à propos de quel pauvre type j'ai été.	Nanashabya ngalengekanya obukubiri obonabyanabo.
Je savais que je ne devais pas lui rendre visite, je suis pourtant allée la trouver.	Sinilwenyasi ngoko sinangaya musunga, ibwa munayireyo.
Comme l'hiver ne dure en Allemagne qu'environ deux semaines, on est en droit, lorsqu'il fait froid et qu'il neige au début décembre, d'espérer un traditionnel noël vert.	Ngok’omututa mwakamala hakuhi nayeng’aviri, aliwe twangana minya ngoko, embegho kutse eritsuku eryokonzuko yo mukera we likumi ne bibiri, vikatuha amaha bw’erisat'oko nwili omo kabembere kabuya.
Les experts en sécurité croient que la technologie d'Apple, pour scanner les empreintes digitales, détecte si un doigt est attaché à un être humain, de sorte que les phalanges sectionnées se révèlent incapables de déverrouiller un iPhone dérobé.	Abasi ovuteya wakalengekanaya abakoli bomubiri obo mu muyi apple, okwitoka irifatura ekisosekenya kye Kihanza kye ebila, banganulu baminya omunye nguni who mundu, kutse amakuha wamuvyo ngwanakalakalire okwitoka erikinguk'e Iphone yibirwe.
Je serai de nouveau à la case départ et devrai reprendre les cours à zéro.	Ngandi tsuk'evyosi vyo buhyaka n’ekalasi oko nzuko.
Le futur pilote s'entraîne dans un faux cockpit.	Omughendya wo vuato avere ahyera omo lituwene.
Kokkinakis a frappé votre ami. Je suis désolé de te le dire, mon pote.	Kokkinakis mwahunzire omwira waghu. Unganyire iriku vyura tahi mundu waghe.
Il faut profiter des bonnes choses et reprendre de ce qu'on aime.	Litolere iwahema evindu vyowene, nerisubira evyanzirwa.
Tu as gardé toutes tes dents de lait dans cette boîte d’allumettes ? C’est dégoûtant !	Ameno wakukaya omo bwana, navwana nawavikagho omokikulu che limete ? Sikitsemesirye !
Où es-tu, Charlie ?	Ulihayi Charlie ?
Le Colisée était l'ancienne grande salle de spectacle dans la Rome antique.	Colisee kyabya chumba kinene kyevinda omo muyi wakera bye roma.
Allô. Pourrais-je parler à Mr Jackson ?	Allô. Tahye naganavugha na Jackson kwehi ?
Tony ne connaissait pas leurs noms.	Tony syasierina liwe.
Le procureur du district est réticent à poursuivre à cause de l'insuffisance des preuves.	Omutwa mbanza we kyahanda kukulu mwaghamire erikwamirira emyatsi busana neribula evyabya.
"Cette chanson s'appelle ""Only You""."	"Olwimbo olo lukahulawa ""Only You""."
Le ballon a frappé la barre transversale.	Akaghulughulu mokayinyambaya oko mwamba.
Exact. J'ai fait une faute de frappe.	Ni kwenene. Mongakola erilolo lisikire.
Je voudrais choisir un présent pour ma copine.	Nilwe nanzire inasondya evighembo oko mwanzi waghe.
Elle a grandi au bord de la mer, et pourtant elle a horreur de nager.	Mwakulira oko ngetse ikwa alinovuva vye rinabiramo.
Un homme a normalement deux raisons de faire une chose: une bonne raison et la vraie raison.	Omundu awite malengekanya awabiri wyerinya ekibuya n’ekivi.
Le tennis est un sport joué sur un terrain spécialement marqué, le terrain de tennis.	Akaghulughulu ketenis kakayira ekibugha kyao.
Quel est ce morceau ? Je l'ai déjà entendu quelque part mais le titre ne me revient pas.	Olwimbo olo ngabiriwa alo? Nabiri owalo, namabul'erina.
On rencontre encore extrêmement rarement des femmes au plus haut niveau de direction.	Omobusondolya bye bitunga vikuluvikulu, abakali balimo bake.
Comment puis-je faire en sorte que mon gamin mange des légumes ?	Nangayira niti okwisunga emboka yo mwana waghe ?
Le paragraphe 214, selon mon opinion une des dispositions encore plus étranges du Code administratif général du Land de Schleswig-Holstein, semble stipuler que quelqu'un qui enlève une personne à une autre, doit lui en délivrer un reçu.	Okomalengekanya waghe, omuhambo we 214 Omo kitalu kikulu kye busondolya ngo mulume wa land omunya Schleswig-Holstein, alinga abughe ati omundu viheka amaviheko omundu akamutwalira oghundi mundu ngambe inyamuha akapapura akakanganganya omwatsioyo.
L'éternité ? Je m'y plairai sûrement, cela commence couché.	Ovutabawa ? Ngandisyanza bo, bukanzuka amalengera.
Tommy ne voulait pas courir le risque de perdre son emploi.	Tony syabia anzire akagherya omubiri bibwe.
"Le journalisme consiste généralement à dire ""Lord Jones est Mort"" à des gens qui n'ont jamais su que Lord Jones était vivant."	"Ovutula engulu buliho okwibuya buti ""Lord Jones agholire"" kandi ikwa oko bandu abasi ngoko akinegho."
Le drapeau qui serait le symbole de l'Union Européenne a été officiellement choisi en 1986 : un fond bleu qui porte en son centre un cercle de douze étoiles dorées.	Ebendera eyakinganganisyo ekya bughuma bye vighugho vye bulaya ya sombolawa bulibaliba 1986 : yiri ni rangi ye vubula nomo katikati muli ekiviringo kye syo ngununu erikumi ne bibiri esiwite erangi eyo mulinga.
Réfléchis au problème - fais fonctionner (comme je te l'ai souvent entendu dire) les petites cellules grises de ton cerveau !	Erilengekanye okosyombanza, uhiresyo omobulengekanya buaghu !
Comment es-tu devenu flic ?	Waver’uti kwehi ?
Vous savez que vous n'êtes pas autorisée à vous trouver ici. Sortez !	Unashi kutahamulirwe erisungika hano. Useghere !
Je suis désolée d'avoir rompu ma promesse.	Namayikuvya vomo eritwa malaghano waghe.
"La torture physique, psychologique et sexuelle pratiquée par les services de renseignements des pays ""civilisés"" n'est pas une pratique barbare."	"Ovunyaghasa vwa chinyamuviri ovwamalenekania n’ovukumbira ovukakolawa n’avandu vovuteya omovihugho virimo ""vukake"" vunene vikalangirawa ngavywene."
Lorsqu'un rayon de soleil pénètre par une serrure de porte dans une chambre poussiéreuse, on y voit s'agiter une colonne de poussière.	Omusakal’owelyuva akaviamahika kutse alava omochiyo chenyumba, akaleka omundu inyatoka erilangir’olututu kolukaghuluka omonyumb’eyo.
Nous pourrions sortir ensemble comme nous l'avons fait l'année passée.	Twangaghendire kughuma kotwamakala okochirimo echahwa.
Anatole n’avait pas la compréhension vive, il n’était pas éloquent, mais en revanche il possédait ce calme si précieux dans le monde et cette assurance que rien ne pouvait ébranler.	Natoli avya ishalyowa ndeke, na kandi inimukutu, aliwe omovukutu ovo avandu muvamwanza, isihali n’ayo wangamunyeghako echihavwa echo.
Le commandant de bord a annoncé aux passagers stupéfaits l'annulation du vol.	Omukulu we risu mwavwirire avahimbani viwe kosivendisha ghenda.
Ils ne savent pas de quoi nous parlons (ils ne savent pas où est atteint le moulin).	Sivashi vyatukavuwa kuvyahi ?
Jules est le seul qui sache la combinaison du coffre.	Jules Musa yowashi evir’omwituva.
Il sent super bon.	Akakumba ndeke.
Attendez mes ordres !	Mulinde echo ngevavwira!
Il y avait un max de monde à cette soirée.	Avandu vavyavangi omwigh’olweryo.
Je suis vraiment désolée d'avoir menti.	Nawayikuvya vomo okwivya mungavateva.
Le type que vous tenez n'est pas le bon.	Oyomuhiwireko maha wenyu shuwene.
Il tient le rang de colonel.	Ni mukulu omovulashi.
C'est une personne importante au FBI.	Ni mundu wendundi nene omovuteya vwe amerika (FBI).
Dan a jeté un coup d'œil au véhicule de la victime.	Dan mwaghusire liso lyomonguruvani yomundu mwahutala.
Ceci ne signifie pas que nous devrions ignorer des sources de tension. En effet, cela suggère le contraire : nous devons confronter ces tensions.	Neryo ekyo kikeleka itwalevya ekikahangahangaya avandu. Nerio, eriyiteghereria kutsivulikita epusu, aliwe ikavyayamasunga echoyikaronda ikavyaho.
La curiosité tue le chat, mais la satisfaction le ramène à la vie.	Erikengemereria riki'itha epusu, haliwe eritosa rika subaya owibyaho.
Vous serez responsable des femmes travaillant dans cette usine.	Mukendivya vimaniri vavakali avakak’obomuviri womo chibanda chino.
J'arriverai à 2h30 et Marie arrivera un peu plus tard.	Ngendihik’osahiviri n’echitsuwe na maria okonyuma hake.
Les obstétriciens sont également soumis à un risque élevé de procès.	Avakakol’olovusosotya vwechinganga vah’omohatari nene yeritotesivwa.
Hum ! Ça a l'air bon !	Hum ! Ekyo kyamuwana !
Chris a obtenu un emploi dans la peinture de maisons et a réussi à amasser de l'argent.	Chris mwasungire mukolano werihaka manyumba neryo aviritok’eriyisungira esyosende.
Si tu as quelque chose d'utile à me dire, fais-le, sinon arrête de débiter tes conneries arrogantes.	Wamavia unawite’echingwa chendundi, umbwirecho, nahotse ulekelulinga lutseghetseghe.
L'enquête conclut qu'en dépit de ses dénégations, le directeur général aurait eu connaissance des pratiques illégales, en cours dans l'entreprise.	Ovusosotyavwahwere, omukulu we chitunga, aviriminya evituwene evikakolawa na vakoli vemiviri.
Toute personne a le droit de fonder avec d'autres des syndicats et de s'affilier à des syndicats pour la défense de ses intérêts.	Ovulimundu awite mbangwa yeringir’omochitunga kutse kandi erilagha kucho vusana neritokeriteya evindu viwe.
La mère d'Alex est tombée dans le coma peu de temps avant la chute du mur de Berlin.	Mama wa Alex mwatohire embere vahimbule oluhimbo lwe Berlin.
Le prochain roman que j'écris se passe dans un love hotel c'est pour ça que je voulais savoir à quoi ça ressemblait.	Evyongetashe handika, ngekolerayo omolutere luwene kundi ninanzire inaminga ngahisosire luti.
Pour que tout soit consommé, pour que je me sente moins seul, il me restait à souhaiter qu'il y ait beaucoup de spectateurs le jour de mon exécution et qu'ils m'accueillent avec des cris de haine.	Okwivugha nyiti evyoshi viulave, kundi nangayowa ndeke inj’uwene, nanganzire avasha ndevaya vavye vanene echiro vakeshanyita, eriyangira omomilenge yavo yeritsuro.
Tiens, c'est marrant comme coïncidence, depuis que j'ai dit sur le mur que j'utilisais Tatoeba depuis mon smartphone, je ne peux plus m'y connecter via ce biais, alors que je le peux toujours depuis mon ordinateur.	Kyamaswecha, ohongavuyira okoluhimbo nyiti sinyichitoka erikolesha enyakutu yaghe okwiranda visesani, reritera simu omonziri eno, inanganatoka okwilavira masini waghe we rihandikamo.
Il n'est pas nécessaire que Nick vienne me voir à l'entreprise.	Sikyandumbi ye Nick erisyanavanir’ingero.
Notre corps a besoin de calcium pour grandir, surtout pour la formation et le renforcement des os.	Omuviri wetu anayitayire evyala evikakulayawo, kandi kulenga iviangaleka amakuha inawa inanakalire.
Le lendemain matin, il était à bord du vaisseau spatial.	Omokiro ekyabya kikwamire avia iniuavikala omorisu erikaya komoghenda.
Ça je le sais. Vous ne comprenez en effet pas tant que ça la Chine.	Ekyo ninashiko. Simwelitaminya ngoko ekyo kye kihugho che chine.
La soirée est super, vous ne trouvez pas ?	Simusamalire erigholo kahikandivya libuya kwe.
"""Tu passes chez moi ?"" ""Je peux ?"" ""Mes parents rentrent tard tous les deux comme ils travaillent."""	"""Ulave ewaye""?  Nangana toka ? ""Avavuti vaghe vakalumbuk’omwigholo kundi avo ni vakoli vomuviri."""
Le pauvre homme est devenu si maigre qu'il n'a plus maintenant que la peau et les os.	Omukuviri avondire, achiriko ngovi na makuha masa.
Vous devriez faire passer un test à cet élève.	Mwangakolesiry’omukoloyo yo malengwako.
Ce type de plante ne pousse qu'en région tropicale.	Eviri visosirevino vikalasa eyiri kahuhania.
L’arrivée du frère de Sarah dans l'appartement a créé des disputes.	Erihika lya mughala wavo sasa omonyumba lyaletire vuhaka.
Si vous stationnez ainsi, je ne pourrai pas sortir de l'auto.	Wanahiraha nguruvani yaghu utya, sinangashatokirwa omoyaghe.
« Eh bien, comment as-tu trouvé le film ? » « La fin m'a totalement surprise, même si elle me paraît tout à fait logique maintenant. »	« Wasungire evisesani vyo uti kwe ? » « Endulya yavyo mwikanzwekaya, naho ikwa namalangira mulye nitondekere. »
Tu dois faire preuve de davantage de soin, lorsque tu écris en anglais.	Uhandike navunyanzo, kulenga kutsivu esaha ukahandika omo muvughe wekingeresa.
Raphaël a étudié la philosophie, le droit et la médecine, et il n'est malheureusement pas plus intelligent qu'avant.	Raphaël mwasoma akalasi kovuhaka, ne mighambo haghuma n’echiganga neryo ikwa yano owenge wiwe vwakehire kulenga embere.
Vous devriez choisir un emploi en rapport avec vos talents et vos intérêts.	Mwanga sombolire omuviri awahikehikene n’evyomwashi haghuma nevyo mukaronda.
Chaque fois que je dois recourir à ce bon Dieu de verrouillage de majuscules, ma phrase suivante se retrouve toute en majuscules ! Tu peux te dire que c'est de ta faute... ou bien celle de l'Académie.	Ngavianalakiri omukama w’evihandiko, evikwamire sivishiwana, iwangana langira nga ni makosa kutse awavakulu v’omughe! Wanganabugha uthi nilolo riaghu, kutse eriakalasi kaukulu.
"Les policiers leur dirent ""Stop""."	"Avapolisi vamavavwira vati ""mwinane aho""."
Sa décision de déménager à Chicago nous a surpris.	Omupango wiwe werihum’echicago avirituwsekya.
Quand mon chat me regarde, j'ai l'impression qu'il va me sauter dessus.	Epusu yaghe ikavia yandevya, ngalunalangira ngayikenitwirako kika.
Vienne demain, il en ira autrement.	Omonjyaka rihike, bikandi sya ghenda oghundi muhanda.
Nous prîmes l'ascenseur pour monter et descendre.	Twalavirer’omwihunga erirukire omonyumba yendata.
Puisque vous êtes fatiguée, vous devriez vous reposer.	Muluhuke hundi muluhire.
Continuez tout droit !	Embere yomalolaye !
Ils ont examiné si, au sujet des traces qui avaient été trouvées sur la porte, il s'agissait d'empreintes digitales du voleur.	Muvasosotirye vikwarari evyasungik’okoluyi, ngasiviangavia vomwivi.
Je donnai dix balles de pourboire au taxi pour m'avoir emmené à l'heure à l'aéroport.	Mwanamhere eshosend’ikumi okoyo wandwala echivugha cherisu.
Or du duc ou de moi souffrez qu’on vous délivre, il faut choisir des deux, l’épouser, ou me suivre.	Ulighe eriaghalwa, na kandi usombole okwinyi no mukama, tukusule, usombole okoviviri, erimutahia kutse eringwama.
Ouais, je veux que tu le fasses.	Nianzire iwakolacho.
Bien que le poste soit déjà occupé, le directeur du personnel aimerait vous rencontrer pour un entretien.	Nomo hachite omuviri, omukulu wavakoli anzire inyakania naghu.
Dan a tiré sur Matt en état de légitime défense.	Dan mwabalukirie Mat omwiyilwirako lya kwenene.
Êtes-vous sûre que vous voulez quitter votre emploi ?	Kwenene kwenene, mwanzire iwaleka muviri ?
Dégage de là en vitesse !	Ulwaho ukativita.
Steve monte dans le bus.	Steve usambir’omomunguruvani.
L'incendie, qui sévit depuis plus d'une semaine dans l'est de la Californie, continue de s'étendre.	Oluhindi lukasia mutanga lyuva we californie, wakanyire.
Elle sentit une boule au fond de sa gorge et les larmes se mirent à lui monter aux yeux.	Mwanighirwe, omwero wiwe mwaveremo kindu, neryo amalalira.
Je dispose enfin du temps pour répondre à la correspondance que j'ai reçue ces trois dernières semaines.	Nanasunge ndambi yerisuvya oko nyawaliho vandumira omo mayenga asatu avia lavire.
Vous avez clairement du talent, c'est vraiment dommage que vous n'ayez pas étudié plus!	Uwite vukengeresania, neryo eritendi soma kanene likakukosera.
Vous serez tuée !	Ukendikwa!
Si vous pouviez seulement parler l'anglais, vous seriez parfait.	Ngaukavugha kikengereza chisa, ngambe uwene.
Ils marchèrent sur 16 km, se reposèrent pendant 10 minutes et ensuite reprirent la route.	Mwaghendire okovika erikumi ne sita, neryo vamaluhuk’omodakika kumi, neryo vamatasha kunalo.
Le pilote craint que le départ de l'avion, prévu pour dans une heure, ne soit retardé par le brouillard.	Omughendia we rikisakisa akwire vuva vusana n’echilumbi atikwa mwha eshondambi sholughendo shanganasuv’enyuma.
J'ai longuement réfléchi à si je devais m'établir à Rome ou à Paris et je me suis finalement décidé à rester à Berlin.	Mwalengekanirie vuli nganangikere e roma kutse e paris, neryo namalu ninye hamuli yerishighal’e Berlin.
Il a été trop sympa de nous amener sur l'île avec son bateau.	Mwatuwatikirye kutsivu, eritutwala omokayi komo ngetse omorytho riwe.
Réaliser des esquisses revient à planter des graines pour faire pousser des tableaux.	Eriteghekania liriwa, nivwambu iwamaher’embuto yaghu kundi ilase ndeke.
Ta caméra n'a que la moitié de la taille de la mienne.	Akahomba visesani kaghu ni mbindi ya kaghe.
Il nous présenta ses excuses pour n'avoir pas tenu sa promesse.	Mwatusab'obughanyiri kundi mwatheta sikya esyotholi siwe.
Ne dispose pas du droit de vote, celui que le tribunal a exclu du corps électoral pour avoir commis un crime ou en vertu de sa capacité de compréhension limitée.	Owoshiwoshi oyuwite lubanza lunene noyutawite vulengekania. Vuhirirene shangakol’oko wanzirendi.
Il y a de quoi s'amuser : luge, skis, raquettes, c'est comme vous voulez.	Evisanda ni vingi, omundu yukasombola.
Il n'y avait qu'une simple croix blanche pour marquer la tombe du soldat.	Havya omusalaba womusohe unsa mochikanganio cheyisinda yamulasi.
Ne tire pas dans le dos du diable. Tu pourrais le rater.	Isiwaronder’owachetani. Iwama taluka kuvyo.
Certainement, monsieur. Le bar à salade est par là bas.	Ngakuvwira tahie. Halire halie ovwosoma n’eviti vierirya vivisi.
Il se disait à la vue de Sonia : « J’en trouverai beaucoup comme elle, beaucoup qui me sont encore inconnues ! Il sera toujours temps d’aimer et de m’en occuper plus tard. »	"Aviakavygh’okosonia avimulangira ati ""ngashasunga vanene vahingayo vanene nyitasi! Nendambi yerianzavo nerivasuluvirira ikashavia iyine. »"
Johnny Depp est mon acteur préféré.	Johnny Depp nimusati waghe mwanzi.
Que ferait Jésus ?	Yesu angayiriryati ?
Une faible estime de soi résulte d'un désaccord entre le moi réel et le moi idéal.	Erilengekania ngasiwangatoka mwatsi ni vutayiminya na vataminya vutochi owite.
Billy se cogne souvent la tête contre la vitre.	Billy aveghere erihindia omutwe wiwe ko kiyo.
Si vous faites partie de ceux qui essaient de se débarrasser de leur addiction, s'engager dans la campagne est un bon choix.	Wamavya uliomochitunga chavaka chavakaghoma eriyikokolomia, aliwe eringir’omonikolano ichowene.
Les chefs de projets emploient l'idée de la technique du saucissonnage pour dissiper les craintes que peut soulever une tâche importante. Ils précisent les éléments unitaires de la tâche, qui peuvent être exécutés « tranche par tranche ».	Avimaniri vemiviri, vakalevay’erichandundi erihava bandu kusangwa vamenyemuvo mwavakwire vuva, imwatok’erisosotya emiviri y’endundi nene. Vakavi valevya evyehombere omomivir’oyo neryo vangatsukako mokighumakighuma.
D'accord, le lérot est une petite bête bien mignonne, mais le tapage nocturne qu'il entreprend même et surtout quand nous avons besoin de dormir nous donne parfois des envies de le supprimer plutôt que de l'éloigner !	Sawa, akanyamilenge ni kanyama kake, na kandi ni kavuya chinyamuviri, aliwe erikenderiz liako omochiro likaleka itwabia na maha awerikita owanya kwerikasegheria !
Durant la saison chaude, les matières périssables se gâtent facilement.	Omughulu wechihuhania chinene evyushevikatsanda luva vikalu vyavulirana.
Lors de mon adolescence, je détestais la vie et j'étais continuellement au bord du suicide, mais j'en étais écarté par le désir de connaître plus de mathématiques.	Omughulu wovusukwa vwaghe, inyinaveherwe ovuyingo nyihanike, ngambè indyayatyo, aliwe engumbu yeriçond’imuya akalasi kemighanzo yoyavia iknikakinya eritl’ekitsikino.
Tous avaient anxieusement attendu la nouvelle qui fit l'effet d'une bombe.	Avandu bosi vavya ivaviriminy’omwatsiono.
J'ai le sentiment que vous ne voulez pas vraiment que je parte.	Ngalekegekaya uyitialinga simwanzire ngaghenda.
Et l'on savait, qu'en ces lieux prospères, hommes et chevaux gisaient, enterrés en tas désordonné et bonifiaient la terre.	Twanavia twasi ngokoaho avalume n’eshafarasi vavya vosururwiyo n’eritavalivwa chitiachitia vakalir’embolewa yomo kitaka.
Pourquoi, Diable, l'as-tu amené à la gare ?	Sitami, vusanaki, mukatwaliayo omuschilihuriro che nguruvani?
Cette route vous amène au bord du lac Biwa.	Engen ‘ens ikavavahikaya ko mukeketyo we ngetse ye Biwa.
Bougez vos fesses, les filles !	Inywe vanavato, mudingaye vikaliro vyenyu.
Je connaissais déjà le résultat final.	Navia inaviriminya echangasirayo.
Je suis sûre que, dans un futur lointain, vous ne serez pas capable de vous pardonner.	Nyinashi ngoko omokera, simwendishe toka eriongozana) erighanyirana.
Il fit un bref discours.	Mwavanirye vike.
La moindre chose qui se forme au monde est toujours le produit d'une formidable coïncidence.	Okovike vikakilek’omochighugho, vikavia ivitalwa koviriahikahikana.
Quiconque devine le nombre, gagne.	Oyukatok’iminyerera, yatashinga.
Ne vous inquiétez pas. Timéo ne nous laissera pas tomber.	Simubaghe. Shendi tuterya.
Respire à fond et ensuite relâche-toi.	Utsuk’ihumla ndeke, neryo ikwa muwalukata.
Tu sembles parfait pour le job.	Wamavyanga wanguwana ok’wikol’omuviri.
Il a exprimé très clairement qu'il aimerait sortir avec toi.	Mwaviyir’ endekendeke kwanzire iniahuluka naghu.
