fra	swc	swc_clean
Les mots grossiers qui parsèment le discours de nombreux Étasuniens devraient être considérés comme des intensificateurs et l'effet général de leur propagation, comme une sorte d'inflation linguistique.	Maneno machafu ambayo yanaonyesha hotuba ya Wamarekani wengi inapaswa kuonekana kama wazidishaji na athari ya jumla ya kuenea kwao kama aina ya mfumko wa lugha.	Maneno machafu ambayo yanaonyesha hotuba ya Wamarekani wengi inapaswa kuonekana kama wazidishaji na athari ya jumla ya kuenea kwao kama aina ya mfumko wa lugha.
Anna est une amie sur le soutien de laquelle je peux compter.	Anna ni rafiki mwenye naweza kutegemea musaada wake.	Anna ni rafiki mwenye naweza kutegemea musaada wake.
« De quoi traitait la conférence aujourd'hui ? » — « Ça parlait de la campagne de Russie en 1812. »	"""Je! Mukutano ulikuwa juu ya nini leo?"" » — « Ilikuwa kuhusu kampeni ya Urusi munamo mwaka wa 1812. »"	"""Je! Mukutano ulikuwa juu ya nini leo?"" » — « Ilikuwa kuhusu kampeni ya Urusi munamo mwaka wa 1812. »"
L'Iran est un État souverain qui a le droit de se défendre, de défendre ses intérêts, d'intervenir contre tout groupe terroriste qui le menace et de menacer tout État qui menace de l'anéantir.	Iran ni nchi huru yenye kuwa na haki ya kujitetea, kutetea faida zake, kupambana na kikundi yoyote ya kigaidi yenye kuitisha na kutisha serikali yoyote inayotishia kuiangamiza.	Iran ni nchi huru yenye kuwa na haki ya kujitetea, kutetea faida zake, kupambana na kikundi yoyote ya kigaidi yenye kuitisha na kutisha serikali yoyote inayotishia kuiangamiza.
Savoir, c'est savoir que vous ne savez rien, c'est le sens de la vraie connaissance.	Kujua ni kujua kwamba haujui kitu, iyi njo maana ya ujuzi ya kweli.	Kujua ni kujua kwamba haujui kitu, iyi njo maana ya ujuzi ya kweli.
Au lycée, j'eus la possibilité de choisir le latin comme matière.	Kwenye shule ya sekondari, nilikuwa na uwezo ya kuchagua somo ya Kilatini .	Kwenye shule ya sekondari, nilikuwa na uwezo ya kuchagua somo ya Kilatini .
Il a promis d'apporter de nouvelles industries à la région, mais les politiciens tiennent rarement leur parole.	Aliahidi kuleta viwanda mupya katika iyi eneo, lakini ni vigumu sana kwa wanasiasa kutimiza ahadi zabo.	Aliahidi kuleta viwanda mupya katika iyi eneo, lakini ni vigumu sana kwa wanasiasa kutimiza ahadi zabo.
Il se savait condamné et il a préféré fuir que d'affronter l'ennemi.	Alijua kama alisha shindwa na alipendelea kukimbia kuliko kupambana na adui.	Alijua kama alisha shindwa na alipendelea kukimbia kuliko kupambana na adui.
Enfin, elle a pris de façon définitive la décision d’arranger son nez.	Ku mwisho, alifanya maamuzi wa kutengeneza pua yake.	Ku mwisho, alifanya maamuzi wa kutengeneza pua yake.
Vous devriez jeter un coup d'œil à votre garde-robe et ajouter un peu de couleur à vos vêtements.	Unapashwa kuangalia kabati yako ya nguo na kuongeza rangi ku manguo yako.	Unapashwa kuangalia kabati yako ya nguo na kuongeza rangi ku manguo yako.
J'ai trouvé plein de virus dans l'ordinateur de ma tante.	Nilikuta virusi mingi mu ordinateur ya shangazi yangu.	Nilikuta virusi mingi mu ordinateur ya shangazi yangu.
Il venait de revenir de Chine.	Alikuwa nafika kutoka Uchina.	Alikuwa nafika kutoka Uchina.
Les deux premiers ours blancs à mettre le pied en Islande ont été tués après avoir parcouru cinq cents kilomètres à la nage... Bizarre récompense !	Ours (minyama ) mbili za kwanza kuweka mugulu huko Irlande ziliuawa baada ya kuogelea kilomita mia tano... Zawaida ya kushangaza!	Ours mbili za kwanza kuweka mugulu huko Irlande ziliuawa baada ya kuogelea kilomita mia tano... Zawaida ya kushangaza!
Louis accusa finalement Germaine de s'être mise, métaphoriquement parlant, dans le rôle de l'éternel objet.	Ku mwisho Louis alimushutumu Germaine kwa kujiweka yepeke, akiongea kwa fumbo, katika jukumu ya kitu ya milele.	Ku mwisho Louis alimushutumu Germaine kwa kujiweka yepeke, akiongea kwa fumbo, katika jukumu ya kitu ya milele.
Si vous ne voulez pas manquer le train, vous feriez mieux de vous dépêcher !	Kama hautaki kukosa gari moshi (train), ufanye haraka!	Kama hautaki kukosa gari moshi, ufanye haraka!
J'ai été battu par une bande de criminels en retournant du travail.	Nilipigwa na kundi ya waalifu wakati nilikuwa narudia kutoka mu kazi.	Nilipigwa na kundi ya waalifu wakati nilikuwa narudia kutoka mu kazi.
Je sais que des tas de garçons veulent sortir avec vous.	Minajua kama ba garçons (vinaja) bengi banatakaka kutoka na weye.	Minajua kama ba garçons bengi banatakaka kutoka na weye.
Je n'ai pas les bonnes réponses. C'est sans doute que je ne me pose pas les bonnes questions.	Sina majibu ya kweli. Bila shaka sijiulizi maswali ya muzuri.	Sina majibu ya kweli. Bila shaka sijiulizi maswali ya muzuri.
La langue internationale espéranto permet, par la mise en œuvre de moyens relativement réduits, une communication directe, complète, sur tous les sujets.	Luga ya kimataifa Kiesperanto inaruhusu, kwa utumiaji ya uwezo kidogo, mawasiliano ya moja kwa moja, ya kuenea, kuhusu mada zote.	Luga ya kimataifa Kiesperanto inaruhusu, kwa utumiaji ya uwezo kidogo, mawasiliano ya moja kwa moja, ya kuenea, kuhusu mada zote.
Ha ! ha ! ha ! un écureuil ivre ! ce sera bien drôle.	Ha! ha! ha! Ecureuil ya mulevi! itakuwa ya kuchekesha sana.	Ha! ha! ha! Ecureuil ya mulevi! itakuwa ya kuchekesha sana.
L'apprenti marin, assis sur un tabouret dans un bar, commanda une bière en attendant son panier de fish and chips.	Muogeleaji mwanafunzi, akiikala ku kiti ndani ya bar, alilomba chupa moya ya pombe na kungojea kikapu yake ya samaki na frite.	Muogeleaji mwanafunzi, akiikala ku kiti ndani ya bar, alilomba chupa moya ya pombe na kungojea kikapu yake ya samaki na frite.
Quel est ce Dieu qui refuse aux Palestiniens un droit de retour à leurs terres ancestrales ?	Huyu ni Mungu gani mwenye anaima Wapalestina haki ya kurudia katika inchi ya mababu zao?	Huyu ni Mungu gani mwenye anaima Wapalestina haki ya kurudia katika inchi ya mababu zao?
Selon une révision de recherches antérieures, un haut niveau de consommation de chocolat peut réduire le risque de maladies coronariennes et d'accident vasculaire cérébral.	Kulingana na utafiti mupya iliopita, kiwango ya yulu cha utumiaji wa shokola inaweza kupunguza hatari ya magonjwa yenye kusababishwa na virusi ya corona na magonjwa ya moyo.	Kulingana na utafiti mupya iliopita, kiwango ya yulu cha utumiaji wa shokola inaweza kupunguza hatari ya magonjwa yenye kusababishwa na virusi ya corona na magonjwa ya moyo.
C'est tout simple et pourtant du plus bel effet.	Ni ya kwaida sana alakini inapendeza zaidi.	Ni ya kwaida sana alakini inapendeza zaidi.
Vous avez insinué à demi-mot que vous vouliez que je vous invite à sortir.	Ulionesha sawa vile ulitaka nikualike kutoka.	Ulionesha sawa vile ulitaka nikualike kutoka.
Dès que le travail est terminé, il se dirige tout droit au pub.	Saa tu kazi inamalizika, anaenda mara moja ku bar.	Saa tu kazi inamalizika, anaenda mara moja ku bar.
Mais retire ce canon de dedans ta bouche ! T'es complètement timbré, ma parole !	Lakini tosha iyo tundu ya bunduki mu kinywa yako! Weye ni mwendabazimu kabisa, miye njo minasema!	Lakini tosha iyo tundu ya bunduki mu kinywa yako! Weye ni mwendabazimu kabisa, miye njo minasema!
Je veux vous présenter mes excuses pour vous avoir traité de pauvre type devant votre petite amie.	Nataka kukuomba musamaha kwa kukuita mutu masikini mbele ya rafiki yako wa mwanamuke.	Nataka kukuomba musamaha kwa kukuita mutu masikini mbele ya rafiki yako wa mwanamuke.
Je vis lever le soleil sur le golfe, sur la campagne et sur la ville éblouissante de Naples. Je fus insensible et froid à ce spectacle que tant de voyageurs viennent admirer de mille lieues.	Niliona jua inatokea kwenye golfe, yulu ya mashamba na yulu ya mji ya kuangara ya Naples. Sikupenda hata kidogo hiyo tamasha ambayo wasafiri kutoka fasi mingi mbali mbali wanakuyaka kuangalia.	Niliona jua inatokea kwenye golfe, yulu ya mashamba na yulu ya mji ya kuangara ya Naples. Sikupenda hata kidogo hiyo tamasha ambayo wasafiri kutoka fasi mingi mbali mbali wanakuyaka kuangalia.
Il semblerait que l’ajout de crème et de lait ne soit pas forcément nécessaire.	Inaonekana kama siyo lazima kuongeza creme na maziwa.	Inaonekana kama siyo lazima kuongeza creme na maziwa.
S'il arrive qu'il retourne un jour sur sa terre natale, il se rendra certainement sur le lieu où son grand-père a grandi.	Kama siku moya anarudiaka mu fasi yake ya kizalikio, anapashwa tembelea mahali kwenye tate yake wa mwanaume alikomaliaka.	Kama siku moya anarudiaka mu fasi yake ya kizalikio, anapashwa tembelea mahali kwenye tate yake wa mwanaume alikomaliaka.
En France, le défilé militaire sur les Champs-Élysées, en présence du chef de l'État, chef des armées, est un temps fort de la fête nationale.	Huko Ufaransa, defilé ya jeshi kwenye Champs-Élysées, mbele ya raisi wa nchi, mkuu wa jeshi, ni siku kuu kubwa ya kitaifa.	Huko Ufaransa, defilé ya jeshi kwenye Champs-Élysées, mbele ya raisi wa nchi, mkuu wa jeshi, ni siku kuu kubwa ya kitaifa.
Marika était si jalouse qu'il lui arrivait de ne pas m'adresser la parole pendant deux ou trois jours à cause d'un tout petit incident.	Marika alikuwa na wivu sana mpaka wakati ingine hakuongea na miye kwa siku mbili ao tatu juu ya tatizo ya kidogo sana yenye ilitokeka.	Marika alikuwa na wivu sana mpaka wakati ingine hakuongea na miye kwa siku mbili ao tatu juu ya tatizo ya kidogo sana yenye ilitokeka.
S'il continue à boire ainsi, il devra prendre un taxi pour rentrer à la maison.	Akiendelea na kunywa hivi, atalazimika kukamata taxi ya kurudia ku nyumba.	Akiendelea na kunywa hivi, atalazimika kukamata taxi ya kurudia ku nyumba.
Fais en sorte que ta copine ne vienne pas quand je suis là.	Hakikisha mupenzi wako wa kike hakuyi wakati niko hapa.	Hakikisha mupenzi wako wa kike hakuyi wakati niko hapa.
Mon épisode préféré est celui où les ratons laveurs de la forêt fabriquent des machines à voter à partir de boîtes de conserve et d'élastiques.	Kipindi yenye napendaka sana ni ile yenye ratons za kusukula musitu zinatengeza za kupigia kura kwa kutumia bimakopo na mupira ya elastiques.	Kipindi yenye napendaka sana ni ile yenye ratons za kusukula musitu zinatengeza za kupigia kura kwa kutumia bimakopo na mupira ya elastiques.
Si vous ne petit-déjeunez pas, vous aurez probablement faim au cours de la matinée et vous ne serez pas aussi efficace au travail que vous pourriez l'être.	Kama hautakula chakula ya asubui (petit-déjeuner), unawezaka usikie njala mu mamuchana na usitumike muzuri mu kazi kama gisi unazoweyaka tumika.	Kama hautakula chakula ya asubui, unawezaka usikie njala mu mamuchana na usitumike muzuri mu kazi kama gisi unazoweyaka tumika.
Le tueur est mort avec sa victime.	Muuaji alikufa na muhanga wake.	Muuaji alikufa na muhanga wake.
Surtout ne lui achète rien : ce mec est un arnaqueur de première !	Na kwanza usipime kuuza kitu yoyote kutoka kwake : huyu mutu ni musema bongo wa hali ya yulu!	Na kwanza usipime kuuza kitu yoyote kutoka kwake : huyu mutu ni musema bongo wa hali ya yulu!
Le tribunal désigne dans le même jugement un ou plusieurs curateurs chargés, sous la surveillance du juge-commissaire, de l'administration et de la liquidation de la faillite.	Mahakama inachagula mu hiyo hiyo hukumu musimamizi umoya au ba mingi bakusaidia batu bakubwa benye habana uwezo, chini ya usimamizi wa jaji, wa uongozi na kuhesabu na kulipisha ma deni.	Mahakama inachagula mu hiyo hiyo hukumu musimamizi umoya au ba mingi bakusaidia batu bakubwa benye habana uwezo, chini ya usimamizi wa jaji, wa uongozi na kuhesabu na kulipisha ma deni.
Le salaire du juste procure la vie, le revenu du méchant, le péché.	Mushahara wa mwenye haki inapana uhai, mapato ya wuovu ni zambi.	Mushahara wa mwenye haki inapana uhai, mapato ya wuovu ni zambi.
Mathéo a couché nos noms sur la liste.	Matheo aliandika majina yetu ku liste.	Matheo aliandika majina yetu ku liste.
Ah ben génial !	Ah muzuri sana!	Ah muzuri sana!
Mike et David se querellent toujours pour des broutilles.	Mike na David bado wanabishana kuhusu bitu ya ujinga.	Mike na David bado wanabishana kuhusu bitu ya ujinga.
Elles forment un cercle autour de la piste de danse.	Banafanya muzunguko kwenye piste ya danse.	Banafanya muzunguko kwenye piste ya danse.
"""Je suis terriblement pressé... pour des raisons que je ne peux pas nommer,"" répondit Dima à la femme. ""S'il vous plait, laissez-moi revêtir ce costume."""	"""Niko na haraka haraka sana... juu ya sababu zenye siwezi sema,"" Dima alijibu ule mwanamke. ""Tafazali, ngoya nivale tena iyi nguo."""	"""Niko na haraka haraka sana... juu ya sababu zenye siwezi sema,"" Dima alijibu ule mwanamke. ""Tafazali, ngoya nivale tena iyi nguo."""
Il voit les cieux sereins ; et, du haut de la poupe, / d'un signe impérieux il avertit sa troupe. / Nous partons, nous fuyons, nous volons sur les eaux, / et déployons aux vents les ailes des vaisseaux.	Anaona wawingu inatulia; na, kutoka nyuma ya mashua, / ya ishara ya kulazimisha anapatia kikosi yake angalisho. / Tunatoka, tunakimbia, tunaruka yulu ya maji, / na kuimarisha mabawa ya mashua kwenye upepo.	Anaona wawingu inatulia; na, kutoka nyuma ya mashua, / ya ishara ya kulazimisha anapatia kikosi yake angalisho. / Tunatoka, tunakimbia, tunaruka yulu ya maji, / na kuimarisha mabawa ya mashua kwenye upepo.
Celui qui tient à examiner tous les facteurs avant de prendre sa décision ne prendra jamais de décision.	Mtu ambaye anataka kuchunguza mambo yote kabla ya kufanya uamuzi haiwezi fanya uamuzi ata siku moya.	Mtu ambaye anataka kuchunguza mambo yote kabla ya kufanya uamuzi haiwezi fanya uamuzi ata siku moya.
Nous sommes toujours préoccupés de perdre notre jeunesse. Mais le bien le plus précieux que nous ayons possédé, c'est l'enfance; et elle est toujours perdue.	Kila mara tuko na wasiwasi juu ya kupoteza ujana wetu. Lakini kitu ya maana zaidi yenye tuliwahi kuwa nayo; ni butoto, na bado inapotea.	Kila mara tuko na wasiwasi juu ya kupoteza ujana wetu. Lakini kitu ya maana zaidi yenye tuliwahi kuwa nayo; ni butoto, na bado inapotea.
Les États-Unis ont même tenté d'accuser Chavez d'abriter des terroristes d'Al-Qaïda sur le territoire vénézuélien. Si le Venezuela était un pays musulman, il aurait été anéanti par la puissance américaine depuis plusieurs années.	Marekani ilijaribu hata kumushtaki Chavez kwa kuchunga magaidi wa Al-Kaida inchini Venezuela. Kama Venezuela ingekuwa inchi ya kiislamu, kama hivi ilishaka teketezwa na Marekani tangu zamani.	Marekani ilijaribu hata kumushtaki Chavez kwa kuchunga magaidi wa Al-Kaida inchini Venezuela. Kama Venezuela ingekuwa inchi ya kiislamu, kama hivi ilishaka teketezwa na Marekani tangu zamani.
A l’extérieur cet immeuble n'est pas remarquable, mais si vous regardez dedans il y a une cour avec un très beau jardin.	Inje iyi jengo (nyumba) haiko ya kupendeza, lakini ukiangalia ndani piko kiwanja yenye kuwa na bustani ya muzuri sana.	Inje iyi jengo haiko ya kupendeza, lakini ukiangalia ndani piko kiwanja yenye kuwa na bustani ya muzuri sana.
Ça y est ! J'ai enfin reçu mon diplôme du HSK, depuis le temps que je l'attendais !	Ni tayari! Hivi njo kupata diplome yangu ya HSK, tangu wakati nilikua nachunga!	Ni tayari! Hivi njo kupata diplome yangu ya HSK, tangu wakati nilikua nachunga!
D'abord je te rends l'argent que tu m'avais prêté; deuxièmement je te remercie pour ce prêt; troisièmement je te prie de m'en prêter encore ensuite quand j'en aurai besoin.	Kwanza minakurudishia pesa yenye ulinikopesha; ya pili minakushukuru kwa iyi mkopo; na ya tatu, minaomba unikopeshe tena wakati ndahitaji.	Kwanza minakurudishia pesa yenye ulinikopesha; ya pili minakushukuru kwa iyi mkopo; na ya tatu, minaomba unikopeshe tena wakati ndahitaji.
J'en ai marre de toujours entendre les mêmes histoires.	Minachoka kusikia kitu kimoya kila wakati.	Minachoka kusikia kitu kimoya kila wakati.
Elle lui a raconté une blague, mais il ne l'a pas trouvée drôle.	Alimwambia utani, lakini hakuona kama ni ya kuchekesha.	Alimwambia utani, lakini hakuona kama ni ya kuchekesha.
Je suis vraiment surprise que vous ayez obtenu un prix.	Minashangala sana kuona umepata tuzo.	Minashangala sana kuona umepata tuzo.
Cela ressemble à l'effet d'un virus.	Iyo inaonekana sawa virusi.	Iyo inaonekana sawa virusi.
Voici une pelote de fil magique. Suis sans crainte cette pelote, dans quelque direction qu'elle roule !	Angalia mupira wa uzi za uchawi. Fuata iyo mupira bila hofu, katika mzunguko yoyote yenye inafata!	Angalia mupira wa uzi za uchawi. Fuata iyo mupira bila hofu, katika mzunguko yoyote yenye inafata!
L'inspecteur lui demanda s'il connaissait Alice Berne.	Inspektere alimuuliza kama anajua Alice Berne.	Inspektere alimuuliza kama anajua Alice Berne.
Un second coup d'œil peut être flatteur mais après, ça se dégrade : d'abord en fixation, puis en œillade, et enfin carrément en lorgnement.	Mtazamo wa pili unaweza kuwa wa kupendeza lakini baadae unaharibika: kwanza kwa mtazamo ya kawaida, kisha kwa kukazia macho, na mwisho kuangalia kwa makini sana.	Mtazamo wa pili unaweza kuwa wa kupendeza lakini baadae unaharibika: kwanza kwa mtazamo ya kawaida, kisha kwa kukazia macho, na mwisho kuangalia kwa makini sana.
Son arrogance l'empêche d'admettre que les gens peuvent avoir des opinions différentes et le droit de faire ou de dire ce qui bon leur semble.	Kiburi yake inamzuia kuitika kama watu wanaweza kuwa na maoni tofauti na haki ya kufanya au kusema wanayo taka.	Kiburi yake inamzuia kuitika kama watu wanaweza kuwa na maoni tofauti na haki ya kufanya au kusema wanayo taka.
Dieu n'est pas venu supprimer la souffrance. Il n'est même pas venu l'expliquer, mais il est venu la remplir de sa présence.	Mungu hakukua maliza mateso. Hakukuya hata kuielezea, lakini alikuja kuijaza na uwepo (presence) wake.	Mungu hakukua maliza mateso. Hakukuya hata kuielezea, lakini alikuja kuijaza na uwepo wake.
Son garage était dans un drôle d'état : il n'en prenait visiblement pas beaucoup soin.	Garage yake ilikuwa mu hali ya mubaya: ilionekana kama hakukuwa naitunza sana.	Garage yake ilikuwa mu hali ya mubaya: ilionekana kama hakukuwa naitunza sana.
Des poules et des lapins se trouvent dans la cour, au total nous pouvons compter quarante têtes et cent pattes. Combien de poules et de lapins se trouvent dans la cour ?	Kuku na sungura ziko mu kiwanja, kwa jumla tunaweza hesabu bichwa makumi ine na migulu mia moja. Kuku na sungura ngapi njo ziko mu kiwanja?	Kuku na sungura ziko mu kiwanja, kwa jumla tunaweza hesabu bichwa makumi ine na migulu mia moja. Kuku na sungura ngapi njo ziko mu kiwanja?
Avant de prendre définitivement sa décision, il veut encore tâter le terrain.	Mbele akamate uamuzi yake ya mwisho, anataka kuchunguza tena terrain (budogo).	Mbele akamate uamuzi yake ya mwisho, anataka kuchunguza tena terrain.
En voyant les biscuits en forme d'écureuil que Jules avait faits, Marie tomba en extase, ravie.	Kuona biskwi yenye iko na forme saa ekireye (écureil) zenye Jules alikuwa natengeneza, Marie alianguka kwa furaha, alifurahi sana.	Kuona biskwi yenye iko na forme saa ekireye zenye Jules alikuwa natengeneza, Marie alianguka kwa furaha, alifurahi sana.
Incroyable, l'un des étudiants s'est levé et a montré ses fesses au doyen en plein milieu de son discours.	Cha kushangaza ni kwamba mmoja wa wanafunzi alisimama na kumuonesha mkubwa wa wanafunzi (doyen) makalio yake wakati alikuwa natowa hotuba.	Cha kushangaza ni kwamba mmoja wa wanafunzi alisimama na kumuonesha mkubwa wa wanafunzi makalio yake wakati alikuwa natowa hotuba.
Les Palestiniens ont-ils le droit d'échapper au sort qui fut celui des Indiens d'Amérique et des Aborigènes d'Australie ?	Je! Wapalestina wako na haki ya kukwepa destin yenye ilikuwa ya Wahindi wa Amerika na Wa aborigines wa Australia?	Je! Wapalestina wako na haki ya kukwepa destin yenye ilikuwa ya Wahindi wa Amerika na Wa aborigines wa Australia?
Le comte Adam était-il riche, était-il pauvre, était-ce un aventurier?	Je! Adam alikuwa tajiri, alikuwa masikini, alikuwa aventurier?	Je! Adam alikuwa tajiri, alikuwa masikini, alikuwa aventurier?
Mon fils rêve de devenir un joueur de golf professionnel.	Mtoto wangu mwanaume iko na ndoto ya kuwa muchezaji professionnel wa golf.	Mtoto wangu mwanaume iko na ndoto ya kuwa muchezaji professionnel wa golf.
Comme elle ne pouvait pas payer son billet, le conducteur du bus lui demanda de descendre.	Kwa kuwa hakuweza kulipia billet yake, dereva wa bisi alimwambia ashuke.	Kwa kuwa hakuweza kulipia billet yake, dereva wa bisi alimwambia ashuke.
Je découvris trop tard que j'avais omis la partie la plus importante de mon discours.	Nilikuya gundua nyuma kama niliacha kuongelea sehemu muhimu zaidi ya hotuba yangu.	Nilikuya gundua nyuma kama niliacha kuongelea sehemu muhimu zaidi ya hotuba yangu.
"Est-il logique de déclarer un territoire comme le ""foyer national"" d'une communauté appartenant à une religion donnée ?"	"Je! Ni jambo ya kawaida kutangaza tarafa kama ""nyumba ya kitaifa"" ya jamii yenye kupatikana mu mikono ya dini fulani?"	"Je! Ni jambo ya kawaida kutangaza tarafa kama ""nyumba ya kitaifa"" ya jamii yenye kupatikana mu mikono ya dini fulani?"
Ils ont examiné les empreintes digitales trouvées sur la porte pour vérifier si elles appartiennent au voleur.	Walichunguza alama za vidole zenye zilikuwa ku mulango juu ya kuzibitisha kama ni za mwizi.	Walichunguza alama za vidole zenye zilikuwa ku mulango juu ya kuzibitisha kama ni za mwizi.
Anita a fait preuve d'une incroyable force de volonté.	Anita alionesha utashi wa ajabu.	Anita alionesha utashi wa ajabu.
Si le Chili et l'Argentine fusionnaient, ils formeraient un ensemble concurrent du Brésil et des États-Unis d'Amérique, agissant immédiatement comme un aimant sur les autres pays hispanophones d'Amérique, et réalisant le rêve prémonitoire de Simon Bolivar.	Kama Shili na Argentina zingeungana, zingeunda upinzaji na Brezil na Marekani, na kutawala nchi zingine za Amerika zinazozungumza Kihispania, na kutimiza ndoto ya kwanza ya Simon Bolivar.	Kama Shili na Argentina zingeungana, zingeunda upinzaji na Brezil na Marekani, na kutawala nchi zingine za Amerika zinazozungumza Kihispania, na kutimiza ndoto ya kwanza ya Simon Bolivar.
En dépit de toutes nos différences, nous partageons, en fait, tous le même titre de fierté, la plus importante position dans une démocratie: le Citoyen.	Hata kama hatuelewani, kwa kweli tunachangia kitu kimoja yenye tunajivunia, fasi muhimu zaidi katika demokrasia: Raia.	Hata kama hatuelewani, kwa kweli tunachangia kitu kimoja yenye tunajivunia, fasi muhimu zaidi katika demokrasia: Raia.
Dans ce document, le Parlement expose les risques de désordre et de bouleversement de la société au cas où on établissait l’égalité entre les hommes, et réaffirme les devoirs de chacun des ordres.	Ndani ya iyi document, bunge inaonyesha hatari ya misukosuko na mabadiliko ndani ya jamii kama kungekuwa usawa kati ya binadamu, na inahakikisha majukumu ya kila kanuni.	Ndani ya iyi document, bunge inaonyesha hatari ya misukosuko na mabadiliko ndani ya jamii kama kungekuwa usawa kati ya binadamu, na inahakikisha majukumu ya kila kanuni.
Va tout droit jusqu'à ce que tu vois le bureau de la Poste, et ensuite tourne à droite.	Enda moja kwa moja mpaka uone bureau ya poste, kisha ugeuke kushoto.	Enda moja kwa moja mpaka uone bureau ya poste, kisha ugeuke kushoto.
Hey Pandark, comment ça se fait que tu sois devenu si célèbre que Pharamp commence à écrire des phrases sur toi ?	Sasa Pandark, aye njo ulishakuwa mtu maarufu sana mpaka Pharamp aanze andika mistari juu yako?	Sasa Pandark, aye njo ulishakuwa mtu maarufu sana mpaka Pharamp aanze andika mistari juu yako?
Quel mec génial !	Mutu muzuri sana!	Mutu muzuri sana!
Celui qui revient sur sa promesse détruit également un espoir.	Mwenye haeshimie ahadi yake anavunja pia matumaini.	Mwenye haeshimie ahadi yake anavunja pia matumaini.
Les militaires ont engagé le combat avec l'ennemi, cinq kilomètres au sud de la capitale.	Askari walipambana na adui, kwenye kilomita tano kusini mwa muji mukuu.	Askari walipambana na adui, kwenye kilomita tano kusini mwa muji mukuu.
La police avait facilement trouvé dans son sac à main les noms des personnes que fréquentait la victime avant sa mort.	Polisi walipata kwa urahisi majina kwenye sac à main (sac ya mu mikono) yake ya batu benye balikuwa nawasiliana na marehemu kabla ya kifo chake.	Polisi walipata kwa urahisi majina kwenye sac à main yake ya batu benye balikuwa nawasiliana na marehemu kabla ya kifo chake.
Enfin au bord du Nil et des canaux, ils construisirent de nombreuses machines hydrauliques simples mais efficaces.	Ku mwisho, kandokando ya ziwa Nil na mifereji, walijenga mashine za kawaida zenye kutumiya maji lakini za kutumika muzuri sana.	Ku mwisho, kandokando ya ziwa Nil na mifereji, walijenga mashine za kawaida zenye kutumiya maji lakini za kutumika muzuri sana.
Il casse souvent nos fenêtres avec une balle.	Anazoweya kuvunja madirisha yetu kwa lisasi.	Anazoweya kuvunja madirisha yetu kwa lisasi.
Lorsqu'un ami vous demande de l'argent à emprunter, voyez lequel des deux vous voulez perdre.	Wakati rafiki yako anakuomba pesa ya kukopesha, angalia ni wa wapi kati ya abo bawili mwenye unataka poteza	Wakati rafiki yako anakuomba pesa ya kukopesha, angalia ni wa wapi kati ya abo bawili mwenye unataka poteza
En France, il est nécessaire de composter son billet avant de monter dans le train.	Huko Ufaransa, ni muhimu kuonesha billet yako mbele ya kupanda mu gari la moshi.	Huko Ufaransa, ni muhimu kuonesha billet yako mbele ya kupanda mu gari la moshi.
Je lui ai envoyé un télégramme de félicitations pour l'obtention de son diplôme.	Nilimutumia telegram ya kumupongeza kwa kupata diplome.	Nilimutumia telegram ya kumupongeza kwa kupata diplome.
Je sais que vous devez être enseveli sous une montagne de courrier, mais je me demandais si je pouvais connaître votre avis sur le courrier que je vous ai envoyé la semaine dernière?	Minajua kama unapashwa zikwa chini ya mlima ya barua, lakini nilikuwa najiuliza kama ningeweza juwa wazo yako kuhusu barua yenye nilikutumia juma juma iliyopita?	Minajua kama unapashwa zikwa chini ya mlima ya barua, lakini nilikuwa najiuliza kama ningeweza juwa wazo yako kuhusu barua yenye nilikutumia juma juma iliyopita?
J'enrage contre lui (mon coeur est cuit sur lui).	Mina musirikia (roho yangu inamuchukia sana).	Mina musirikia.
Reviens plus tard.	Rudia baadae.	Rudia baadae.
Que tu les lèches ou non, ils vont te ramollir en te ratatinant le cerveau, sinon te briser le cou.	Hata ukiwalambula ao hapana, watakuteketeza kwa kukupasula kichwa, kama haiko hivo kukuvunja shingo.	Hata ukiwalambula ao hapana, watakuteketeza kwa kukupasula kichwa, kama haiko hivo kukuvunja shingo.
Je promets que je prendrai bien soin de votre chien.	Minaahidi kama nita shugulikia imbwa yako.	Minaahidi kama nita shugulikia imbwa yako.
Mettez immédiatement les forces de police en état d'alerte générale !	Julisha (alerter) polisi mara moja!	Julisha polisi mara moja!
Louis avait vu cent fois des fêtes de campagne.	Louis aliona mara mia moja siku kuu za vijiji.	Louis aliona mara mia moja siku kuu za vijiji.
Une chose que vous devriez savoir, à mon sujet, est que je suis vraiment un garçon de la campagne, au fond du cœur.	Kitu moja yenye unapashwa jua juu yangu ni kwamba miye niko kijana wa kijijini, ndani ya roho yangu.	Kitu moja yenye unapashwa jua juu yangu ni kwamba miye niko kijana wa kijijini, ndani ya roho yangu.
Tes joues restent belles entre les pendeloques, et ton cou dans les colliers.	Machafu yako inazidi kupendeza wakati unavala mabiju, na shingo yako wakati unavala mahereni.	Machafu yako inazidi kupendeza wakati unavala mabiju, na shingo yako wakati unavala mahereni.
Il a envoyé ses bagages à l'avance.	Alituma mizigo yake mapema.	Alituma mizigo yake mapema.
Les plans ne sont pas inscrits dans le marbre et peuvent être altérés, si c'est absolument nécessaire.	Mipango haiyawekwa mu lijiwe na inaweza kubadilishwa, kama ni lazima kabisa.	Mipango haiyawekwa mu lijiwe na inaweza kubadilishwa, kama ni lazima kabisa.
