fra	lin
Ted a un ordinateur dans le cerveau.	Ted azali  na ordinateur na bongo.
Luke a les cheveux courts.	Luke azali na suki ya mikuse.
Les maisons de bois brûlent plus facilement que les maisons de pierre.	Ba ndako ya mabaya ezikaka na pete mingi koleka ba ndako ya mabanga.
Le seigneur avait un pouvoir absolu sur ses sujets.	Mokolo bilanga azalaki na nguya likolo ya basali na ye.
Un vieux chêne grince dans la tempête.	Nzete ya ekoli makasi ebangaka mopepe ya makasi.
La consommation d'alcool dans les rues ou les parcs est illégale dans la plus grande partie des Etats-Unis.	Komele masanga na ba balabala to mpe na bisika bazwaka mopepe ezali mbeba na bisika ebele ya engumba ya America.
Le brouillard commença à se dissiper vers 10 heures.	Londende ebandaki kosila na nzinga-nzinga ya ngonga zomi.
À mesure que les arbres grandissent, ils privent l'herbe de lumière.	Na tango banzete bazali kokola, bazali kopimela matiti moyi.
Sa beauté le charma.	Bonzenga na ye ekweyisi ye.
Je ne voyais pas suffisamment bien pour pouvoir dire si la tache noire sur le plafond était une araignée ou une mouche.	Nazalaki komona malamu te mpona koloba soki bosoto ya moke ya moindo moye mozali na matolo soki ezalaki Limpúlututú to nzinzi.
Ils ont tourné le film dans un vrai désert.	Basalaki film na bisika bi kawuka ya solo.
Fred commença à aimer Jane, et ils ont commencé à se voir.	Fred akomaki kolinga Jane, mpe babandaki kokutana.
Une carte est fournie sur demande.	Carte moko epesamaki sima ya bosengi.
J'ai vu un cheval tirant une carriole.	Mamoni mpunda komema pusu-pusu.
C'était hier matin que j'avais vu M. Carter.	Ezalaki lobi na tongo nde namonaki M. Carter.
La pointe de la lame du couteau est aiguisée.	Songe ya mbeli ezali yako sebisama.
Un manque de sommeil affecta la prestation du chanteur.	Bozangi kolala ebandi kobebisa lolenge ya koyemba ya molangi nzembo.
Peter et Emma sont juste amis. Il n'y a rien entre eux.	Peter na Emma bazali kaka ba ninga. Likambo moko te ezali na kati na bango.
Le précédent président des États-Unis est le seul Américain à connaître le président de tous les pays.	Mokonzi ya America oyo aleki azali americain moko kaka oyo ayebi bakonzi ya ba mboka nyonso.
La paix n'est pas l'absence de violence mais la présence de justice.	Kimya ezali bozangi ya mobulu te, kasi bozali ya mibeko.
Lorsque nous dormons, la température du corps chute de quelques degrés.	Tango tolalaka, moto ya nzoto ekitaka na ba degré moke.
Les États-unis ont déjà un quart de la population mondiale des prisons.	America basi bazali na eteni moko ya minei ya motuya ya bato ya mokili mobimba ya boloko.
Si tu agis comme un idiot, tu dois être traité comme tel.	Soki ozali kosala makambo lokola zoba, esengeli bazwa yo lokola zoba.
Le prix que les personnalités ont à payer pour leur célébrité est un manque d'intimité.	Motuya ya mosolo oyo bato bakenda nsango basengelaka kofuta pona boyebani na bango ezali kozanga bonsomi.
Les autres filles sont jalouses de Lillie parce qu'elle est très jolie.	Bana ya basi misusu bazali na likunia ya Lillie mpona azali kitoko mingi.
De par le décès de Joan Rivers, le monde a perdu une femme pleine d'humour.	Na liwa ya Joyani Rivers, mokili esili kobungisa mwasi mosekisi bato monene.
Traduis, au lieu de bavasser !	Limbola, kasi ko balola balola monoko te !
Julie a reçu une carte de Noël de son frère en Italie.	Julia azwi mokanda ya Noel ewuti epayi ya ndeko na ye ya mobali azalaka na mboka Italie.
Nous connaissons la légende de Robin des Bois.	Toyebi lisolo ya Robin des bois.
C'était la seule façon dont nous pouvions nous défendre contre tous ces tirs terribles.	Ezali kaka lolenge loye nde tokomibatela na masasi nyonso tozali kozwa.
Je n'en ai absolument aucune idée.	Nayebi soki mukie te.
Sauf exceptions, tout le monde est autorisé à entrer dans l'immeuble.	Loba mobeko mususu ekweya, bato nyonso bazali na ndingisa ya kokota na immeuble.
Rien ne saurait excuser son comportement grossier.	Eloko moko te ekoki kondimisa bizaleli naye ya mabe.
Salut.	Losako.
J'ai littéralement mangé une dizaine d’œufs le dimanche de Pâques.	Naliaki lokola maki zomi na lomingo ya pasika.
Ne blasphémez pas ou je laverai votre bouche avec du savon.	Bo bimisa maloba mate te moki te nako sukola munoko na bino na sabuni.
Une carte d'identité en règle est requise.	Mokanda ya d'identité ezali mobeko oyo esengeli.
Julie donne un bec à sa fille.	Julie apesi munoko na muana naye ya muasi.
Cet homme est un policier de la brigade criminelle, et non pas un criminel.	Moto oyo azali pulusu ya oyo bakanga babomi batu, kasi azali mobomi te.
Une cérémonie d'adieu fut tenue en l'honneur de monsieur Jones hier.	Nteke ya bokabwani ya libela esalemaki na tina ya ndeko mobali Jones lobi.
Hitler a pris le pouvoir en 1933.	Hitler azwaki bokonzi na mbula nkoto lyoko na nkama libwa ntuku misato na misato.
Je me casse.	Nakeyi.
Le viol est toujours un crime violent.	Viol ezali mbeba ya makasi.
Maman et papa sont très nerveux.	Mama na papa bazali na nkanda makasi.
Dans la salle de bain de l'hôtel il y avait une corde pour suspendre les vêtements mouillés.	Na bisika ya kosukola na hotel ezalaki na singa pona kotanda bilamba ya mayi.
Notre ultime but est d'établir la paix dans le monde.	Mposa na biso ya suka ezali kokotisa kimia okati ya mokili.
Les bénéfices de la drogue, ils l'employaient à acquérir de nombreuses propriétés immobilières.	Milekeli ya mombongo ya drogue, bazalaki kosalela yango pona kosomba ba ndako ebele.
Elle fut placée à la tête du projet, bien qu'elle n'ait aucune aptitude à diriger.	Batiaki ye lokola mokambi ya misala wana, ata soki azalaki na mayele ata moko te ya kokonza.
La femme sourde portait un gilet de sécurité orange d'ouvrier du bâtiment.	Muana mwasi oyo akufa matoyi azalaki kolata elamba ya langi ya mosaka oyo basali na bisika batonga ba ndako balataka.
C'est un truc de gonzesses.	Eza likambo ya basi.
Je me demande si le Prince Guillaume laisse quiconque l'appeler Bill.	Nazo mituna soki muana mokonzi ya mobali Guillaume azali kotika mutu songolo abenga ye Bill
Un bateau de rêves a accosté un cauchemar.	Masuwa ya ndoto ememi ndoto ya mabe.
Ils ont ressenti une douleur à la fois physique et émotionnelle.	Bayokaki pasi ya nzoto mpe ya molimo.
Travaille au lieu de bavarder !	Sala mosala na esika ya koloba loba.
Les ailes nous manquent, mais nous avons toujours assez de force pour tomber.	Mapapu ezangi biso, kasi tozali kaka na makasi oyo esengeli pona kokweya.
Elle portait une ceinture rose aussi chère que moche.	Azalaki kolata mokaba ya rose ya talo kasi mabe.
Le vent souffle à une vitesse incroyable.	Mopepe ezali kopepa na mbango oyo okondima te.
La glace sur le lac est trop fine pour supporter ton poids.	Glace likolo ya mayi ezali mukie makasi pona kosimba kilo na yo.
Tiens, quelle formidable coïncidence ! Tom a les mêmes empreintes digitales que moi.	Tala, oyo bokutani ya lolenge nini ! Tom azali na bilembo moko ya maboko na ngai.
C'est quand on devient capable de bouger que la véritable valeur de la santé se fait ressentir.	Ntango tokomaka ko ninganga nde ntina ya solo ya bokolongono bwa nzoto emonisamaka.
Je me demande s'il pourrait me prêter sa guitare pendant les congés.	Nazo mituna soki akoki kodefisa ngai lindanda na ye na ntango ya congés.
Il n'avait qu'un seul désir : se faire tout petit et vivre parmi les lumières et les ombres.	Azalaki kaka na mposa moko: komikomisa mukie mpe kosala bomoi naye bisika na mwinda mpe molili.
Je l'ai entendue sangloter dans sa chambre.	Nayokaki ye kolela okati ya elálelo na ye.
Le chasseur abattit un ours.	Moto ya bokila abomaki ours moko.
Le guide touristique a volé mon identité.	Molakisi nzela na ba paya ayibaki mukanda ya identite na ngai.
Il s'enrôla dans la marine des États-Unis.	Amikotisaka na mampinga ya America.
Le monde est un grand bal où chacun est masqué.	Mokili ezali etando inene ya masano bisika batu nyonso balati ba masques.
Elle a fait un voyage en Amérique, en s'arrêtant dans six grandes villes.	Asalaki mombembo na America, atelemaki na ba mboka motoba ya minene.
Le père de Tom s'appelait Jean.	Papa ya Tom kombo naye ezalaki Jean.
Durant l'été il ne fait, en Italie, pas nuit avant vingt-et-une heure.	Na ntangu ya été, omboka Italie, butu eyingelakai te liboso ya ngonga ntúkú míbalé na moko.
La couronne de la Reine était d'or.	Kata ya muasi ya mokonzi ezalaki ya wolo.
Tant dut coûter de peine / ce long enfantement de la grandeur romaine !	Esengelaki kaka ezali pasi / kobota oyo ozwi ngongo molayi lolenge moko na monene ya ba romains !
Betty a une voix charmante.	Betty azali na mungongo ya kitoko.
Il est persuadé qu'ils vont voter en faveur de M. Jones.	Azali kobanza penza makasi ete bakopono M.Jones na maponami.
Mon ancienne professeur d'anglais doit sûrement se retourner dans sa tombe à l'heure qu'il est.	Molakisi na ngai ya muasi ya kala ya Anglais na ngonga oyo nazali kobanza ete azali kobaluka okati ya lilita naye.
M. Jordan s'est réveillé soudainement.	M. Jordan alamuki na mbalakata.
Il est doux et noble de mourir pour la patrie.	Ezali likambu ya malamu mpe lokumu kokufa pona ekolo.
C'est alors que nous avons appris que la poste centrale était en feu et qu'ils avaient kidnappé notre président.	Nde toye koyeba ete bisika na biso ya mosala esilaki kozwa moto mpe ba kangi mokonzi na biso.
Assure-toi d'avoir enclanché le cerveau avant de mettre la bouche en mouvement !	Zala nakoyeba ete bongo nayo ekanisi malamu yambo monoko nayo efungwama.
Donc, p est vrai si et seulement si q est vrai.	Na yango, p ezali ya solo kaka soki q ezali ya solo.
La vieille femme a envoyé un serviteur pour le tronc.	Mobange ya muasi atindaki mosali moko pona mabonza.
Après dix ans comme partenaires en affaires, ils ont décidé de se séparer.	Sima ya kosala mbula zomi lokola baninga ya mosala, bazwaki mokano ya kokabwana.
Selon ce magazine, mon actrice favorite épousera un musicien de jazz au printemps prochain.	Lolenge magazine oyo elobi, mutu na ngai nalingaka mingi akobala mobeti muziki na printemps oyo ezali koya.
L'avion a perdu une partie de son aile.	Mpepo ebungisaki eteni ya lipapu nango.
Les soldats sur les bateaux feraient des cibles faciles.	Ba soda okati ya masuwa bazali pete pona koboma.
Le son de ta voix est comme le chant d'une sirène.	Mongongo nayo ezali lokola loyembo ya mamiwata.
Vénus n'est qu'à peine plus petite que la Terre et Mars est plus grosse que la moitié de la Terre.	Vénus ezali mua muke lokola Mabele mpe Mars ezali monene koleka katikati ya Mabele.
Quelle est la différence entre un samouraï et un ninja ?	Bokeseni nini ezali kati ya samouraï na ninja ?
Au football américain la défense a un travail spécifique.	Na lisano ya ndembo (football) ya ba américain bayi défense bazali na mosala ya motuya yakosala.
Faites fondre le chocolat, ajoutez le beurre et remuez bien.	Komisa sokola mayimayi, bakisa manteka mpe sangisa yango malamu.
Carol et Jane ont dû l'oublier au bureau.	Carol na Jane babosani yango na esika ya mosala na banzi.
La plupart des Étasuniens étaient d'accord avec le président Wilson.	Ebele ya ba americains bazalaki liloba lyoko na mokonzi ya mboka Wilson.
Mon estomac a commencé à grogner pendant le rendez-vous. C'était embarrassant.	Mitshiopo na ngai ekomaki koningana na ngonga ya bokutani. Ezali mutungisi.
Carlos est intelligent et créatif.	Carlos azali mayele mpe akelaka.
Entre nous, il a une maîtresse.	kati na biso, azali na likangu.
Il nous envoya un poème tellement touchant.	Atindeli biso poème moko ezali nakasi mingi.
Si les cons faisaient un concours, tu finirais deuxième, tu es bien trop con pour finir premier.	Soki bazoba basali momekano, okozala moto ya mibale, ozali zoba makasi yango okoki te kozala moto ya yambo.
Il n'y a pas deux personnes ayant les mêmes empreintes digitales.	Bato mibale bakoki te kozala na bilembo moko ya misapi maboko ekokana.
Que diriez-vous d'une crème glacée avec une sauce au chocolat pour le dessert?	Bokanisi ete crème glacée na mua soupou ya sokola pona kolembisa munoko ezali likanisi malamu?
Les enfants font comme s'ils se brossaient les dents.	Bana bazali kosala lokola bazali kosukola minu.
Ils ont mis en place un réseau qui a couvert le bâtiment tout entier.	Batongi réseau moko etandami na ndako mobimba.
Elle a l'intention d'aller à un concours de beauté.	Azalaki na makanisi ya kokende na lisano ya momekano ya bonzenga.
Le lion est le roi de la jungle.	Ntambwe azali mokonzi ya zamba.
Il est de mauvaise grâce de cracher par la fenêtre dans la rue, ou sur le feu et tout autre lieu où on pourrait marcher sur le crachat.	Ezali likanisi ya mabe kobwaka nsoyi na lininisa oyo etalisi bongo na nzela, to pe na moto to mpe na bisiki misusu wapi tokoki kotambola likolo ya nsoyi wana.
Je t’en prie, Papa, sois bon avec lui. Je ne pourrais t’exprimer à quel point je tiens à son amitié.	Na bondeli yo, papa zala malamu naye. Nayebi te lolenge nini na talisa yo ete nalingi azala moninga na ngai.
Mon cousin est accro à l'héro.	Ndeko na ngai akoangama na minyololo ya drogue.
Dans ma ville, la température est un degré au-dessus de zéro.	Na engumba, ntanngu ezali degré moko likolo ya libungutulu.
Elle veut en avoir le plus possible pour son argent.	Alingi azwa mingi oyo esengeli na mbongo naye.
Une couleur est une main de poker dans laquelle la totalité des cinq cartes sont de la même couleur.	Langi ezali loboko moko ya lisano ya poker esika wapi ba cartes nyonso mitano mazali na langi lyoko.
Le centre restera fermé deux mois pendant l’été.	Centre ekozala bongo ya kokangama pona sanza mibale na ntangu ya été.
Les heures perdues au sol annulent l'avantage de la vitesse de croisière.	Bolekisi ntangu na mokili esilisaka ntina ya mbangu oyo masuwa ezali na yango.
Ainsi voyons-nous une vieille vérité confirmée : la guerre est toujours inutile.	nde sika oyo tomndime solo moko oyo esi elobama kala : Bitumba ezalaka kaka na ntina te.
La différence entre un « mot juste » et un « mot presque juste » est comme la différence entre la foudre et le foudre.	"Bokeseni kati ya liloba ""bongo"" na ""mukie bongo"" ezali lokola bokeseni kati ya nkake (la foudre) na nkake (le foudre)."
Un exercice régulier est excellent pour la santé.	Kosalisa nzoto mua phisiki ntangu inso ezala malamu pona bokolongonu bwa nzoto.
La science médicale a fait des progrès spectaculaires.	Mayele ya mundele pona maye matali bokolongo bwa nzoto ezali kosala makamwisi ya minene.
Les champs s'étendent, couverts d'une neige épaisse.	Bilanga ezali kokoma munene, ezipami na neinge na makasi.
Votre cargaison devrait être livrée dans les vingt-quatre heures.	Biloko na biso esengeli akomela biso na ba ngonga  ntúkú míbalé na minei.
Aux yeux de beaucoup de gens, la pauvreté est bien pire que vice : elle est faiblesse.	Na misu ya batu ebele, bobola ezali mabe koleka ezaleleli mabe : ezali bolembu.
Votre belle voix était très agréable aux oreilles.	Mongongo nayo ya kitoko ezalaki malamu mingi na matoyi.
Y a-t-il un endroit où nous pourrions parler en privé ?	Ezali na bisika oyo tokoki kosolola na nkunku ?
Linda a identifié Dan comme l'homme de son viol.	Linda alakisi Dan lokola mobali oyo alalaki ye na makasi.
Les couleurs du motif sont très ordinaires.	Langi ya bilamba bati ezali ya momeseno mpenza.
Sophie, qui avait faim, mangeait tout ce qu’elle pouvait attraper.	Sophie, oyo azalaki na nzala, aliyaki nyonso oyo akokaki kozwa.
Le plus grand zoo du monde se trouve à Berlin, en Allemagne.	Lobala ya ba nyama ya zamba ya monene koleka na mokili mobimba ezali na Berlin, na Allemagne.
Ouille, mon pied !	Ayiii, lokolo na ngai !
Science sans conscience n'est que ruine de l'âme.	Koyeba kati na kozanga bomoto ezali koboma molimo.
Notre quartier général se situe dans un autre quartier de la ville.	Kalatyé zenelale na biso ezali na kalatyé mosusu na engumba.
Ne compte pas sur lui pour te prêter de l'argent.	Kotiela ye motema te mpo adefisa yo mosolo.
Les gens ne sont des héros que quand ils ne peuvent pas faire autrement.	Bato bakomaka bilombe ntango bazalaka lisusu na lolenge mosusu ya kosala te.
Mon oncle conduit comme un pied !	Noko na ngai ayebi kokumba te !
Dans notre malheur, nous avons eu de la chance : nous avions fait une sauvegarde complète la veille.	Na mpasi na biso, tozwaki bongo libaku : tosalaki ebateli mobimba na mokolo oyo elekaki.
Le gouvernement surveillait avec attention les activités des groupes radicaux.	Leta azalaki kokengela na bokebi misala ya mangomba oyo bazalaki kotelemela ye.
Elle mit le linge sale dans la machine à laver.	Atie elamba ya mbindo na kati ya masini ya kosukola bilamba.
Pourriez-vous l'emballer ?	Okoki kokanga yango liboke ?
Je n'avais pas pu dormir la nuit d'avant, du coup je n'ai pas arrêté de piquer du nez pendant la réunion.	Nakokaki kolala na butu te, na yango nazalaki konimba na ntango ya likita.
Ne creuse pas un trou pour y faire tomber quelqu'un ou tu risques de finir toi-même dedans.	Kotimola libulu te mpo na kokweyisa moto mosusu, mpamba te okokweya kuna yo moko.
L'enfant fut fait pupille de la nation.	Mwana etike akomaki ya motuya na ekolo.
Dieu a envoyé ses anges pour te protéger où que tu ailles.	Nzambe atindaki bangelu naye mpo babatela yo bisika nyonso okokende.
Mon cousin a une large collection de figurines.	Mwana ya noko na ngai azali na liboke ya ekeko ya esaneli.
Un examen plus poussé est requis.	Momekani ya motuya esengami.
Du pinacle du bonheur, elle a sombré dans les abysses de la misère.	Kowuta na bozwi ya kafu kafu, asuki na bozang oyo ya nsuka.
Un pot de départ fut organisé pour M. Smith.	Komela ya nsuka esalamaki mpo na Tata Smith.
J'ai reçu ce couteau électrique comme cadeau.	Nazwaki mbeli oyo ya lotilíki lokola libonza.
Je pense qu'Anne aime Jacques.	Nakanisi ete Anne alingaki Jacques.
Tous au village la nommaient Le Petit Chaperon Vert.	Bato nyonso na mboka bazalaki kobenga ye Le petit Chaperon Vert.
J'ai laissé mes émotions troubler mon jugement.	Natikaki  makasini na ngai ezangisa ngai bososoli.
Fais quelque chose à propos du flot de sang qui s'échappe de la blessure.	Sala eloko moko mpo na makila oyo ezali kotanga na mpota.
Hier, j'ai écrit à Hélène.	Lobi, nakomelaki Helene.
Les amants qui aiment bien n'écrivent pas leur bonheur.	Bato oyo balingaka ya solo babetaka ntangwa te.
Puisque c'est désormais légal de se marier avec quelqu'un du même sexe, je suis à deux doigts de me marier avec moi-même.	Lokola mibeko endimi bato ya lolenge moko babalana, nakomi mpembeni ya komibala ngai moko.
Jimmy est mon enfant adoptif.	Jimmy azali mwana nabokolaka kasi nabota ye te.
Je suis membre de cette organisation depuis cinq ans. Oh attends ! Non, six.	Nazali moko ya lingomba oyo kobanda mbula mitano. Oh Zela ! Te, motoba.
Il a perdu son temps à jouer aux courses hippiques.	Alekisi ntango na ye na kobetaka masano ya mpunda.
Liz est morte depuis huit ans.	Liz akufa uta mbula mwambe.
Le scientifique a essayé de découvrir les lois de la Nature.	Moto ya mayele amekaki kokukola mibeko ya mokili.
Pourquoi faut-il que le plus grand crime et la plus grande gloire soient de verser le sang d'un homme ?	Mpo na nini esengeli kaka ete mabe ya makasi to mpe kolonga  ya makasi ezalaka kaka kotangisa makila ya moto ?
Les parents devraient superviser les activités de leurs enfants.	Baboti basengeli balandela oyo bana na bango bazali kosala.
Il est devenu sourd à sonner les cloches.	Akomi matoyi mangongi mpo na kobeta ngonga.
Cette église date du 12e siècle.	Ecclezia oyo ezali wuta sekúlo ya zomi na mibale.
Ne t'en fais pas, j'ai couvert chaque angle.	Komitungisama te, nazipiki bikuke nyonso.
Le vent a arraché le toit de notre immeuble.	Mopepe epindoli eteni ya likolo ya ndako na biso.
La ville se situe à la pointe la plus au nord du Japon.	Engumba ezali bongo na nzela kokende likolo ya Japon.
Les ventes ont chuté dans tous les grands magasins.	Koteka ekiti na magazini nyonso ya minene.
Tom a dit qu'il voulait rendre visite au Père Noël au Pôle Nord.	Tom alobaki ete alingaki kokende kotala Père Noël na Pôle Nord.
Marie est une danseuse à la barre verticale professionnelle.	Marie azali mobini na bisika oyo batiaka libende etelema.
Il y a des roues dans des roues.	Pine izali na kati ya pine.
Ce repas était simplement divin.	Biloko oyo ya kolia ezali kitoko makasi.
J'aimerais disposer de la volonté d'arrêter de manger de la malbouffe.	Nalingi nazala na makasi ya kobanda koboya kolia bilei oyo ezali malamu te mpo na nzoto.
Il est venu en se débattant et en hurlant.	Ayaki na mikakatano mpe na konganga.
Je ne puis vous approuver, ma fille, d’attacher ainsi votre admiration à un inconnu, que vous ne reverrez jamais sans doute.	Mwana na ngai ya mwasi, nakoki kondimela yo te, okende kolula moto oyo oyebi te, oyo okomonaka lisusu te.
La veuve souffrait d'un cancer de l'estomac.	Mwasi oyo akufela mobali azalaki kobela kansele ya likundu.
Les bons artistes copient, les artistes éminents volent.	Bai-ntóki ya malamu bamekolaka basusu, baí-ntóki  ya lokumo bayibaka.
Le savon aide à enlever la saleté.	Sabuni esungaka mpo na kolongola bosoto.
Papa, je suis enceinte, voici la liste des suspects....	Papa, nazali na zemi, tala molongo ya bato oyo nazali kokanisela...
Je veux une carte du Texas à l'échelle 1/250000e.	Nalingi kalati ya Texas na echelle 1/250000e.
Écrire est un sommeil plus profond que la mort.	Kokoma ezali pongi ya mozindo koleka liwa.
Le juge a demandé à l'accusé s'il connaissait la différence entre dire la vérité et dire un mensonge.	Zuzi asengi na moto bafundaki soki ayebi bokeseni oyo ezali kati ya koloba bosolo na koloba lokuta.
Un homme demanda un jour à Bouddha : Je veux du bonheur ! Bouddha lui répondit : D’abord, enlève « Je », c’est de l’ego. Puis enlève « veux », c’est du désir. Et maintenant, tout ce qu’il te reste : « du bonheur ».	"Mokolo moko moto moko atunaki na Boudha : Nalingi esengo ! Boudha ayanoli ye boye : Liboso, longola ""Na"", ezali bongai. Mpe longola ""lingi"", ezali mposa. Mpe sikoyo, nyonso otikali na yango : ""esengo""."
Nous devons quitter l'hôtel avant 10h, autrement nous allons manquer le train pour Miami.	Esengeli tolongwa na lotele liboso ya ngonga ya 10, soki te tokozanga engunduka mpo na kokoma Miami.
Le chemin vers le mal peut apporter un grand pouvoir, mais pas la loyauté.	Nzela ezali kokumba na mabe ekoki komema bokonzi ya monene, kasi bosembo te.
Elle a suivi un régime les deux derniers mois car elle a pris trop de poids durant l'hiver.	Asalaki regime ya sanza mibale ewuti koleka mpamba te akomaki monene makasi na hiver.
Les équipes de football d'Amérique latine réussissent plutôt bien, en particulier par rapport aux équipes asiatiques.	Masanga ya babeti ndembo ya Amerique latine balongaka malamu koleka, bango moko masanga ya Asia.
Tom n'est clairement pas intéressé par une adhésion à notre groupe.	Tom azali mpenza na mposa soki moke te ya kokota na lisanga na biso.
En cas de retard de la cargaison, nous avons une assurance retard spéciale.	Soki biloko ekomi na nsima ya ntango , tozali na asalasi mpo na kokoma na nsima ya ntango.
Dans les régions méridionales, les ventes ont augmenté de 47 pour cent.	Na mboka oyo ezali mpembeni ya mayi, mipepa emataki na 47 likolo ya 100.
La magie et les monstres sont les fruits de l'imagination.	Soloka na bilima bazali mbuma ya makanisi.
Ayant perdu son chemin, il choisit sa route au hasard.	Awa abungi nzela na ye, aponi kaka nzela bongo bongo.
Le plancher était peint en vert, mais les murs étaient jaunes.	Nse ya ndako ezalaki na langi ya mayi ya pondu, kasi bifelo bizalaki na langi ya mosaka.
Ils ont parié une bouteille de whisky.	Babetanaki mondenge ya molangi ya whisky.
Le feu, conduit par un vent d'est, a détruit le centre-ville.	Moto, ekumbamaki na mopepe ya Est, epanzi centre-ville.
Sais-tu qui est cette grande fille blonde habillée en vert ?	Oyebi engambe ya mwana mwasi oyo ya mpembe alati bilamba ya langi ya mayi ya pondu soki azali nani ?
En matière de drogues, la frontière est mince entre l'usage et l'abus.	Na makambo matali mono, ndelo ezali mukie kati ya kosalela na kosalela mabe.
Il adopte l'attitude que la résistance est une perte d'énergie.	Azwi bongo mokano ete koyika mpiko ezali kosilisa makasi.
Ces vrais jumeaux ont été séparés à la naissance et ont été élevés dans des familles différentes.	Bana mapasa bakabolaki bango na mbotama mpe bakolisamaki na mabota ekeseni.
Une carte était attachée au cadeau.	Kalati ekangamaki na libonza.
J'ai toujours pensé qu'un infarctus était la manière dont la nature t'indique qu'il est temps de mourir.	Nakanisaki ete kosala crise ya motema ezali lolenge mpo na mokili ya koyebisa yo ete ngonga ya kokufa ekoki.
Une maison en bois brûle plus facilement qu'une maison de pierre.	Ndako etongami na mabaya epelaka moto na mpete koleka ndako oyo etongami na mabanga.
Le scientifique est connu non seulement au Japon, mais également à l'étranger.	Moto ya mayele ayebani kaka na Japon te, kasi lisusu na mboka mopaya.
Le soldat authentique ne lutte pas parce qu'il déteste ce qui est devant lui, mais parce qu'il aime ce qu'il a derrière-lui.	Soda ya solo solo abundaka te mpo ayini moto oyo atelemi liboso na ye, kasi mpo alingi oyo ezali nsima na ye.
Il essaya d'être courageux tandis qu'il était pris en otage.	Amekaki koyika mpiko kasi azalaki na maboko ya baye bakangaki ye.
Monica n'a pas beaucoup étudié.	Monica atangaki kelasi ya mingi te.
Nicole sait très bien parler japonais.	Nicole ayebi koloba kijaponais malamu mingi.
Ne vous frottez jamais les yeux après avoir coupé un piment.	Kofina miso na misapi te nsima ya kokata pili pili.
Après que sa femme l'ait quitté, Harold est devenu fou.	Nsima ya mwasi na ye koboya ye, Harold akomaki liboma.
Tous les gens devraient découvrir les joies du partage par eux-mêmes.	Bato nyonso basengeli kokukola na esengo ya kokaba na ndenge na bango moko.
"""Superman"" sort ce mois-ci au cinéma."	"""Superman"" ekobima sanza oyo na cinéma."
Je viens d'écrire une appréciation négative au sujet de cette agence immobilière.	Nauti kokoma likanisi ya mabe na maye matali agence immobilière oyo.
Un sot trouve toujours un plus sot qui l'admire.	Zoba akutanaka kaka na zoba moko ya koleka ye oyo alulaka ye.
Les Russes copient les mœurs françaises, mais toujours à cinquante ans de distance.	Ba Russes bamekolaka bizaleli ya ba français, kasi na mbula ntuku mitano ya mosika.
S'il vous plait mettez-moi en relation avec Mr Smith.	Nabondeli bino bokutisa ngai na Mr Smith.
La criminalité est certainement en progression dans plusieurs de nos grandes villes.	Koboma ezali komata mingi na bingumba na biso ya minene.
Qui est le garçon qui joue le rôle de Peter Pan ?	Mwana mobali oyo azali kosala lotomo ya Peter Pan nde nani ?
Un dollar est égal à cent cents.	Dollar moko ezali kokokana na centimes nkama.
Je n'ai pas assez de mémoire RAM.	Nazali na mayele mingi te ya RAM.
Je vis dans un petit village à cinquante kilomètres de la capitale polonaise.	Navandaka na mboka ya moke ezali na ba kilometele ntuku mitano na mboka mokonzi ya Pologne.
Le capitaine donna l'ordre d'abandonner le navire.	Kapiteni apesi mobeko ya kosundola masuwa.
Il fut envoyé au combat.	Atindamaki na bitumba.
Les noms sont dans l'ordre d'entrée sur scène des acteurs.	Bakombo elandani bongo na molongo lolenge ba acteurs bakotaki na bisika ya masano.
Il arriva chez lui un peu avant cinq heures.	Akomaki o ndaku ya ye yambo ya ngonga mintano.
Un mensonge peut voyager jusqu'aux antipodes pendant que la vérité en est encore à lacer ses chaussures.	Lokuta eyaka liboso mpe bango kasi bosolo eyaka na sima mpe malembe.
Il a été élu roi du bal de fin d'année.	Aponamaki mokonzi na masano ya suka mbula.
Je prends ces pastilles quand j'ai la gorge sèche.	Na melaka ba mbuma oyo tangu mongongo ekawukaka.
Chaque étudiant masculin a le symbole de l'école sur sa casquette.	Muana kelassi nyonso ya mobali azali na elembo ya Kelassi na ekoti na ye.
Je n'utiliserais pas une machine à laver dont l'interrupteur est défectueux.	Na ko salela machine ya ko sokola te oyo button na yango ezali ya kobeba.
L'or est le souverain des souverains.	Wolo ezali mokonzi ya ba konzi.
L'absence de preuve du contraire est elle-même la preuve que votre théorie est probablement vraie.	bozangi ya biloko oyo ezali ko lakisa lolenge mususu nde ezali eloko oyo elakisi ke likanisi na bino ezali ya solo.
Si le lion est le roi des animaux, l'aigle est le roi des oiseaux.	Soki ntambwe azali mokonzi ya ba nyama, engondó azali mokonzi ya ba ndeke.
Ce produit chimique est extrèmement dangereux.	Produit ya mondele oyo ezali mabe makasi.
Il était sur le point de réussir.	Akomaki pene ya ko longa.
Tu détournes tout ce que je dis.	Ozo kima nyonso nazali ko loba.
Regarde là !	Tala kuna !
Veuillez dire adieu, Madame, à votre époux.	Muasi, pesa mbote ya libela, na mobali nayo.
N'essayez pas de couvrir le ciel entier de la paume de votre main.	Bomeka te ko zipa mapata nyonso na makata ya maboko na bino.
Le juge prononça une peine de cinq ans de travaux forcés.	Zuzi akateli bango mbango ya mbula ntúkú mítáno ya misala na makasi.
